评论ID,评论内容,评论图片,点赞数,评论时间,用户昵称,用户主页链接,用户抖音号,用户签名,回复的评论ID,具体的回复对象,回复给谁
7270806688377307916,都去赞南翔不吃饭的视频去了[看],,5,2023-08-24 16:43:33,꧁༺天赐淡雅香༻꧂,https://www.douyin.com/user/MS4wLjABAAAAIOQZK4PrY_XsQKsX8l5yNvEfF9ohH7COlQk8L4aBSWA,,,7254263026702091040,7254263026702091040,
7270276120607458105,你现在再看看，已经有900多万赞了，这是我看到赞最多的作品[微笑],,10,2023-08-23 06:24:56,😁黄代芹,https://www.douyin.com/user/MS4wLjABAAAAzgjnB4ysyEkLsj2rWnPd4gd8LztJE7rmNqvOlvJ_AsjzzM9Fe00Yz-0nvjwwdZQ3,huangdaiqin2,,7254263026702091040,7254263026702091040,
7269627950479754003,现在时间2023.08.21日中午12:29分钟，有930.8万赞[大金牙],,11,2023-08-21 12:29:33,彭于晏没我帅,https://www.douyin.com/user/MS4wLjABAAAAA4_hgv0uhE34LaZzSkw-FC0-cW5hc4554EVlrzSqvto,,,7254263026702091040,7254263026702091040,
7268594828819251987,九百多万了[流泪][流泪],,15,2023-08-18 17:40:24,第八场雨,https://www.douyin.com/user/MS4wLjABAAAA-8pMhXnXTkMyFDJdH__n5MFmEtEVNJen1HXmr0lkFZM,Y0627YI,,7254263026702091040,7254263026702091040,
7267156789178024740,914w了,,22,2023-08-14 20:40:00,零碎残栀²,https://www.douyin.com/user/MS4wLjABAAAArMXJlau3tbb-Q-K4PIm7Cbl5RwHsZ0Fj3Qs31CqMWq0,138276liang.,,7254263026702091040,7254263026702091040,
7267040388099015487,你都不止2.3万，别急让子弹飞一会。现在900万了,,10,2023-08-14 13:08:22,🌈鬼年,https://www.douyin.com/user/MS4wLjABAAAAFup508vSbE5qGU4gOlJsHpF09vaAb5DJGq4HS0j2Wpc,,,7254263026702091040,7254263026702091040,
7264112008639054652,我刷到已经是800w的时候了哈哈哈哈,,14,2023-08-06 15:44:50,＄,https://www.douyin.com/user/MS4wLjABAAAACCBngm_aCmZSNtQMQA54MauVcJKTujEtqnR9GJibLx8,gj030311,,7254263026702091040,7254263026702091040,
7264061541435327290,快880W了，这样的制作墨真是不易啊[赞][赞][赞],,5,2023-08-06 12:28:57,💋敏若晨星,https://www.douyin.com/user/MS4wLjABAAAA02AxduMKSkxNgd_N4JqekIyyKeWJGSWg07jG5z0_ZJo,,,7254263026702091040,7254263026702091040,
7263457796723622690,快860W了[赞][赞],,5,2023-08-04 21:26:00,兮颜瑄宝贝儿,https://www.douyin.com/user/MS4wLjABAAAAsOjwT8YN95KE3IPbHNNZWMXoHhC98uhYlrf63683WAKVuNxkVXOzRo4REIhTPEAq,79327208062,,7254263026702091040,7254263026702091040,
7263368262938657572,你得评论点赞量也是天花板了[比心][比心],,2,2023-08-04 15:38:50,醉风梦雪,https://www.douyin.com/user/MS4wLjABAAAAAfsK8-ASXxwLz2mH6s1f2wIC5CFMduzWadfGdaHzs-lMge39AsX5O16OOxHkt47Y,47788710515,,7254263026702091040,7254263026702091040,
